"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I360","2019-09-22 00:00:00","300.000","267.000","1.600","21.500","0.840","974.100","","0.000","-99.000","-99.000","-99.000","25.900","","21.500",""
"C0M810","2019-09-22 00:00:00","1354.000","0.000","0.000","16.500","0.990","862.200","","0.000","-99.000","-99.000","-99.000","20.000","","16.200",""
"C0AC80","2019-09-22 00:00:00","40.000","0.000","0.000","21.200","0.960","1003.900","","38.500","-99.000","-99.000","-99.000","22.000","","19.400",""
"CM0140","2019-09-22 00:00:00","26.000","353.000","0.600","25.700","0.850","1005.000","","28.000","-99.000","-99.000","-99.000","30.300","","25.600",""
"C0SA20","2019-09-22 00:00:00","857.000","108.000","0.900","20.200","1.000","914.400","","54.500","-99.000","-99.000","-99.000","25.200","","19.200",""
"C0K490","2019-09-22 00:00:00","91.000","94.000","3.000","23.400","0.760","997.000","","0.000","-99.000","-99.000","-99.000","27.300","","22.100",""
"C0V820","2019-09-22 00:00:00","441.000","36.000","0.900","21.200","0.920","960.500","","0.000","-99.000","-99.000","-99.000","25.500","","20.100",""
"C0S810","2019-09-22 00:00:00","65.000","331.000","1.500","23.800","1.000","1002.400","","49.500","-99.000","-99.000","-99.000","33.100","","23.800",""
"C0R580","2019-09-22 00:00:00","10.000","346.000","2.000","25.200","0.750","1006.000","","0.000","-99.000","-99.000","-99.000","29.000","","23.100",""
"C0Z330","2019-09-22 00:00:00","488.000","0.000","0.100","22.000","0.990","954.900","","22.000","-99.000","-99.000","-99.000","32.900","","21.700",""
"C0E590","2019-09-22 00:00:00","40.000","95.000","3.100","22.200","0.840","1002.400","","0.500","-99.000","-99.000","-99.000","27.000","","20.600",""
"C0D540","2019-09-22 00:00:00","227.000","177.000","1.800","20.500","0.880","984.500","","12.500","-99.000","-99.000","-99.000","22.500","","18.000",""
"C0K420","2019-09-22 00:00:00","42.000","101.000","0.500","22.800","0.780","1003.200","","0.000","-99.000","-99.000","-99.000","27.700","","22.300",""
"C0Z180","2019-09-22 00:00:00","34.000","137.000","0.700","24.200","0.950","1003.400","","41.500","-99.000","-99.000","-99.000","28.400","","23.900",""
"C0AD10","2019-09-22 00:00:00","27.000","240.000","1.700","22.900","0.800","1004.900","","131.000","-99.000","-99.000","-99.000","23.300","","20.400",""
"C0M720","2019-09-22 00:00:00","225.000","108.000","2.800","21.500","0.850","982.400","","0.000","-99.000","-99.000","-99.000","26.200","","20.700",""
"C0V450","2019-09-22 00:00:00","51.000","334.000","2.000","24.300","0.750","1001.500","","0.000","-99.000","-99.000","-99.000","29.600","","23.100",""
"C0R280","2019-09-22 00:00:00","242.000","0.000","0.000","22.300","-99.000","980.600","","11.000","-99.000","-99.000","-99.000","27.700","","22.300",""
"C0E610","2019-09-22 00:00:00","850.000","69.000","1.000","16.700","0.950","915.900","","1.000","6.100","23.000","","21.000","","16.000",""
"C0V610","2019-09-22 00:00:00","22.000","358.000","3.000","24.400","0.740","1005.000","","0.000","-99.000","-99.000","-99.000","29.100","","24.000",""
"C0Z310","2019-09-22 00:00:00","59.000","114.000","0.500","23.600","0.990","1001.300","","30.500","-99.000","-99.000","-99.000","28.600","","23.300",""
"C0S700","2019-09-22 00:00:00","507.000","0.000","0.200","21.700","1.000","952.900","","28.000","-99.000","-99.000","-99.000","28.400","","21.100",""
"C0T9G0","2019-09-22 00:00:00","605.000","0.000","0.000","21.000","0.990","942.500","","28.500","-99.000","-99.000","-99.000","29.100","","20.800",""
"C0U520","2019-09-22 00:00:00","517.000","242.000","3.600","20.500","0.930","952.900","","1.500","-99.000","-99.000","-99.000","21.800","","17.300",""
"C0E750","2019-09-22 00:00:00","62.000","85.000","2.000","21.500","0.870","999.700","","2.000","-99.000","-99.000","-99.000","26.400","","20.700",""
"C0G660","2019-09-22 00:00:00","27.000","0.000","0.200","23.200","0.790","1006.400","","0.000","-99.000","-99.000","-99.000","28.600","","22.400",""
"C0W140","2019-09-22 00:00:00","21.000","0.000","0.000","24.800","0.790","1007.700","","0.000","-99.000","-99.000","-99.000","33.000","","20.300",""
"C0U720","2019-09-22 00:00:00","1260.000","0.000","0.200","17.800","0.990","883.800","","6.500","-99.000","-99.000","-99.000","22.300","","16.900",""
"C0R690","2019-09-22 00:00:00","248.000","351.000","1.100","22.900","-99.000","979.000","","0.000","-99.000","-99.000","-99.000","26.600","","22.200",""
"C0X150","2019-09-22 00:00:00","18.000","50.000","4.300","24.100","0.770","1007.000","","0.000","-99.000","-99.000","-99.000","28.700","","23.500",""
"C0Z050","2019-09-22 00:00:00","830.000","0.000","0.000","20.600","0.980","918.600","","39.500","-99.000","-99.000","-99.000","27.100","","19.800",""
"C0I490","2019-09-22 00:00:00","1601.000","164.000","0.700","15.400","0.990","838.500","","1.000","-99.000","-99.000","-99.000","18.600","","15.400",""
"C0I090","2019-09-22 00:00:00","910.000","236.000","1.700","17.100","1.000","909.500","","0.500","-99.000","-99.000","-99.000","20.100","","16.300",""
"C0X240","2019-09-22 00:00:00","394.000","146.000","0.700","20.900","0.860","964.500","","0.000","-99.000","-99.000","-99.000","23.900","","19.900",""
